PL.,   Lifters,BY,Team,Weight,WF,Lot,Squat1,Squat2,Squat3,Best Squat,Bench1,Bench2,Bench3,Best Bench,Dead1,Dead2,Dead3,Best Deadlift,Total Tom,TOTAL,W.pts.,Pts.,Year,Sex,Division,Sort
3,Bulanyy Mikhaylo,1975,UKR,92.59,0.6295,10,370,382.5,382.5,,250,260,267.5,,310,325,342.5,,0,972.5 -w1,612.19,8,2015,M,Open,57
—,Burden Anthony,1988,CAN,90.9,0.6352,11,240,252.5,252.5,,125,130,135,,275,,,,0,Out,—,—,2013,M,Classic,1068
8,Burgos Ramon,1987,PUR,92.8,0.6288,8,310,320,320,,165,172.5,180,,312.5,325,337.5,,0,837.5,526.62,3,2012,M,Open,1263
3,Bychkov Oleksiy,1985,UKR,111.8,0.5856,16,385,385,395,,280,290,300,,350,365,377.5,,0,1050,614.88,8,2014,M,Open,535
1,Bychkov Oleksiy,1985,UKR,116.58,0.579,13,390,407.5,415,,300,312.5,317.5,,342.5,350,362.5,,0,1095.0 -w,634,12,2015,M,Open,96
14,Campos Murillo Carlos Ma,1979,CRC,125.94,0.569,13,310,325,335,,220,230,230,,310,310,330,,0,865,492.15,1,2012,M,Open,1329
12,Campos Murillo Carlos Ma,1979,CRC,103.64,0.6004,15,300,325,330,,180,190,210,,300,317.5,317.5,,0,807.5,484.82,1,2014,M,Open,524
17,Campos Murillo Carlos Ma,1979,CRC,104.27,0.599,18,310,330,330,,180,200,200,,310,312.5,330,,0,800,479.2,1,2015,M,Open,89
8,Cancel Ivan,1982,PUR,58.92,0.8672,11,220,227.5,232.5,,150,155,160,,205,212.5,220,,0,600,520.34,3,2012,M,Open,1199
3,Cancel Ivan,1982,PUR,58.89,0.8677,8,232.5,237.5,240,,155,160,170,,207.5,212.5,217.5,,0,615,533.64,8,2013,M,Open,819
6,Cancel Ivan,1982,PUR,58.68,0.8703,10,240,247.5,247.5,,160,162.5,167.5,,212.5,220,225,,0,627.5,546.11,5,2014,M,Open,445
7,Cancel Ivan,1982,PUR,58.79,0.8691,3,230,230,232.5,,155,160,160,,212.5,220,227.5,,0,610,530.15,4,2015,M,Open,8
4,Cappellino Joseph,1988,USA,163.5,0.5464,4,390,407.5,417.5,,315,327.5,332.5,,322.5,342.5,352.5,,0,1092.5,596.94,7,2013,M,Open,915
—,Cappellino Joseph,1988,USA,167.58,0.5444,1,405,422.5,435,,322.5,322.5,322.5,,330,350,365,,0,DSQ,—,—,2014,M,Open,564
3,Cappellino Joseph,1988,USA,170.52,0.5429,9,425,447.5,452.5,,327.5,337.5,337.5,,340,362.5,362.5,,0,1147.5,622.98,8,2015,M,Open,115
3,Cascioli Stephen,1991,CAN,64.87,0.7965,13,225,235,240.5,,142.5,150,155,,237.5,245,250,,0,635.5,506.18,8,2015,M,Classic,229
4,Castillo Jose,1986,ECU,83,0.6675,17,325,345,350,,215,225,230,,295,310,322.5,,0,902.5,602.41,7,2012,M,Open,1237
4,Castillo Jose,1986,ECU,82.9,0.668,9,340,360,370.5,,227.5,237.5,237.5,,307.5,325,325,,0,895,597.86,7,2013,M,Open,855
1,Castillo Jose,1986,ECU,82.4,0.6704,16,260,272.5,282.5,,165,175,182.5,,300,315,325,,0,770.0/w/,516.21,12,2014,M,Classic,683
1,Castillo Jose,1986,ECU,82.54,0.6699,3,350,370,377.5,,230,240,247.5,,305,320,330,,0,955.0 -w,639.75,12,2014,M,Open,476
—,Castillo Jose,1986,ECU,81.93,0.6727,20,260,280,290,,172.5,182.5,187.5,,300,315,322.5,,0,DD,—,—,2015,M,Classic,271
13,Chahal Sunil,1992,GBR,72.35,0.7311,9,250,265,265,,190,197.5,205,,250,250,250,,0,705,515.43,1,2015,M,Open,35
2,Chebotar Suradzh,1977,UKR,65.6,0.7891,12,215,227.5,232.5,,135,142.5,145,,227.5,242.5,257.5,,0,620,489.24,9,2013,M,Classic,1024
16,Choudhary Vijay,1980,IND,86.53,0.6518,17,100,120,140,,100,110,115,,120,140,160,,0,395,257.46,1,2015,M,Open,70
3,Christensen Carl Yngvar,1990,NOR,163.47,0.5464,2,422.5,437.5,445,,317.5,325,330,,345,357.5,375,,0,1132.5,618.83,8,2012,M,Open,1318
2,Christensen Carl Yngvar,1990,NOR,164,0.5462,13,450,467.5,475,,317.5,325,330,,350,362.5,370,,0,1175.0/wj/,641.78,9,2013,M,Open,913
1,Christensen Carl Yngvar,1990,NOR,168.02,0.5442,10,465,482.5,490,,330,340,350,,360,375,390,,0,1230.0 -w,669.37,12,2014,M,Open,554
—,Cliffe Tony,1984,GBR,118.92,0.5762,34,365,377.5,377.5,,277.5,277.5,277.5,,320,340,345,,0,Out,—,—,2012,M,Open,1314
4,Cliffe Tony,1984,GBR,119.2,0.5758,2,290,310,310,,205,220,227.5,,310,340,357.5,,0,870,500.95,7,2013,M,Classic,1094
4,Cliffe Tony,1984,GBR,118.65,0.5765,7,300,315,322.5,,205,215,220,,310,322.5,347.5,,0,865,498.63,7,2014,M,Classic,727
3,Cliffe Tony,1984,GBR,118.51,0.5766,9,300,320,327.5,,210,222.5,230,,320,335,342.5,,0,900,518.94,8,2015,M,Classic,309
5,Cliffe Tony,1984,GBR,118.93,0.5761,2,350,370,390,,265,285,292.5,,330,350,362.5,,0,1032.5,594.82,6,2015,M,Open,100
1,Coimbra Anibal,1972,LUX,104.39,0.5988,8,380,400,400,,255,260,262.5,,340,355,387.5,,0,1047.5/w/,627.26,12,2012,M,Open,1278
3,Coimbra Anibal,1972,LUX,102.95,0.6018,4,385,400,407.5,,255,260,265,,340,365,388,,0,1030,619.85,8,2013,M,Open,884
7,Coimbra David,1983,BRA,91.59,0.6328,6,305,325,335,,207.5,220,220,,300,320,337.5,,0,862.5,545.81,4,2012,M,Open,1262
3,Coimbra David,1983,BRA,92.5,0.6298,14,245,260,267.5,,165,175,175,,275,290,307.5,,0,750,472.35,8,2013,M,Classic,1058
4,Coimbra David,1983,BRA,92.55,0.6296,7,325,345,355,,222.5,235,242.5,,310,327.5,340,,0,917.5,577.66,7,2013,M,Open,866
7,Coimbra David,1983,BRA,92.2,0.6308,1,255,270,280,,170,177.5,180,,285,307.5,330,,0,765,482.56,4,2014,M,Classic,703
5,Coimbra David,1983,BRA,91.94,0.6318,19,345,360,370,,227.5,242.5,247.5,,325,345,350,,0,952.5,601.79,6,2014,M,Open,497
—,Coimbra David,1983,BRA,92.01,0.6314,15,270,280,285,,172.5,180,180,,307.5,322.5,340,,0,DD,—,—,2015,M,Classic,291
4,Coimbra David,1983,BRA,92.15,0.631,11,337.5,355,355,,220,237.5,250,,325,340,352.5,,0,940,593.14,7,2015,M,Open,58
13,Collart Jean-Luc,1959,BEL,118.95,0.5761,23,320,335,350,,200,220,220,,280,295,302.5,,0,865,498.36,1,2012,M,Open,1311
10,Conner Charles,1989,USA,92.5,0.6298,3,320,330,340,,260,270,280,,265,280,280,,0,890,560.52,1,2013,M,Open,872
5,Conner Charles,1989,USA,102.45,0.6029,2,345,360,372.5,,285,290,305,,265,270,282.5,,0,960,578.78,6,2015,M,Open,77
7,Constantine Patrick,1969,GBR,58.51,0.873,5,240,250,252.5,,127.5,137.5,140,,225,225,232.5,,0,612.5,534.68,4,2012,M,Open,1198
6,Cooper Paul,1975,GBR,73.15,0.7252,3,200,210,,,155,162.5,167.5,,265,277.5,285,,0,657.5,476.85,5,2014,M,Classic,673
8,Coppenhall Matthew,1987,RSA,81.45,0.6752,18,215,230,240,,155,162.5,165,,240,250,,,0,655,442.22,3,2014,M,Classic,690
11,Curipoma Miguel,1987,ECU,73.75,0.721,11,275,285,295,,160,160,170,,265,270,280,,0,725,522.73,1,2013,M,Open,846
9,Curipoma Miguel,1987,ECU,73.15,0.7252,7,210,220,225,,135,140,145,,240,250,260,,0,625,453.28,2,2014,M,Classic,676
9,Curipoma Miguel,1987,ECU,73.76,0.7207,2,275,290,300,,165,175,185,,265,275,275,,0,740,533.32,2,2014,M,Open,469
6,Curth Vincent,1991,GER,81.47,0.675,13,325,332.5,337.5,,210,210,220,,245,262.5,272.5,,0,810,546.75,5,2015,M,Open,46
8,Danilevic Lauris,1982,LAT,92.07,0.6312,8,255,262.5,270,,162.5,170,172.5,,285,295,300,,0,742.5,468.67,3,2015,M,Classic,280
3,Danilov Konstantin,1986,RUS,64.55,0.7998,22,300,300,315,,175,182.5,190,,260,260,272.5,,0,755,603.88,8,2012,M,Open,1205
1,Danilov Konstantin,1986,RUS,65.24,0.7928,15,310,326,330,,185,192.5,192.5,,262.5,270,287.5,,0,798.5,633.05,12,2013,M,Open,825
1,Danilov Konstantin,1986,RUS,65.58,0.7891,20,290,305,312.5,,180,180,190,,260,270,280,,0,782.5,617.47,12,2014,M,Open,452
1,Danilov Konstantin,1986,RUS,65.24,0.7928,18,300,315,325,,185,195,200,,270,270,272.5,,0,795,630.28,12,2015,M,Open,12
22,Davies Conrad,1991,CAN,130.12,0.5655,18,235,245,260,,160,170,180,,260,270,275,,0,705,398.68,1,2015,M,Classic,344
8,Dear Reagan,1990,NZL,65.87,0.7865,12,167.5,170,175,,115,122.5,125,,205,215,220,,0,517.5,407.01,3,2015,M,Classic,234
7,Degtiar Denys,1981,UKR,103.55,0.6005,18,265,275,280,,165,172.5,177.5,,290,305,317.5,,0,762.5,457.88,4,2013,M,Classic,1077
—,Delir Majid,1984,IRI,119.26,0.5758,6,280,300,,,210,220,220,,270,,,,0,DD,—,—,2015,M,Classic,321
12,Demcak Pavol,1977,CZE,119.6,0.5754,7,250,265,275,,210,220,227.5,,260,272.5,287.5,,0,757.5,435.87,1,2013,M,Classic,1102
7,Demcak Pavol,1977,CZE,119.1,0.5759,9,255,265,275,,215,215,222.5,,260,270,285,,0,782.5,450.64,4,2014,M,Classic,730
11,Demcak Pavol,1977,CZE,117.87,0.5774,11,265,275,285,,217.5,222.5,230,,265,275,280,,0,787.5,454.7,1,2015,M,Classic,317
2,Derstine Maliek,1988,USA,73.72,0.7213,8,287.5,300,310,,200,215,222.5,,265,285,295,,0,827.5,596.84,9,2012,M,Open,1218
4,Derstine Maliek,1988,USA,82.32,0.6709,11,320,320,337.5,,255,255,255,,285,285,295,,0,860,576.97,7,2014,M,Open,479
10,Douglas Knute,1989,USA,82.91,0.668,12,317.5,330,340,,190,200,200,,307.5,320,327.5,,0,850,567.75,1,2012,M,Open,1243
4,Douglas Paul,1989,USA,82.56,0.6696,5,337.5,350,355,,202.5,215,220,,307.5,317.5,322.5,,0,897.5,600.97,7,2015,M,Open,44
3,Dovganyuk Vadym,1987,UKR,104.42,0.5988,12,390,402.5,410,,300,310,315,,310,320,320,,0,1035.0/w/,619.71,8,2012,M,Open,1280
1,Dovganyuk Vadym,1987,UKR,104.92,0.5977,5,385,395,402.5,,310,323,327.5,,310,320,325,,0,1050.5/w/,627.88,12,2013,M,Open,882
1,Dovganyuk Vadym,1987,UKR,104.16,0.5992,18,392.5,400,410,,310,320,320,,312.5,320,325,,0,1050,629.16,12,2014,M,Open,513
12,Dr Budai Balazs,1979,HUN,90.45,0.6368,9,170,170,177.5,,125,132.5,137.5,,210,222.5,225,,0,527.5,335.91,1,2014,M,Classic,708
16,Dr Budai Balazs,1979,HUN,92.36,0.6303,22,175,182.5,185,,130,137.5,140,,220,230,230,,0,550,346.67,1,2015,M,Classic,288
10,Duarte Luciano,1975,BRA,101.56,0.6048,4,350,375,375,,200,210,220,,270,285,302.5,,0,855,517.1,1,2014,M,Open,522
10,Dubovoi Oleksandr,1980,UKR,107.29,0.5932,5,300,312.5,315,,200,215,215,,255,270,280,,0,795,471.59,1,2015,M,Classic,316
16,Ebeed Mina,1988,EGY,159,0.5487,18,200,220,250,,200,202.5,215,,352.5,365,367.5,,0,817.5,448.56,1,2013,M,Open,927
4,Ebihara Takaharu,1980,JPN,58.7,0.8703,5,165,180,185,,130,140,142.5,,200,210,215,,0,540,469.96,7,2014,M,Classic,651
5,Ebihara Takaharu,1980,JPN,58.47,0.8735,5,175,175,185,,135,140,142.5,,200,220,225,,0,545,476.06,6,2015,M,Classic,223
8,Edwards Dave,1985,RSA,117.35,0.578,4,250,265,265,,190,200,205,,270,285,292.5,,0,762.5,440.76,3,2014,M,Classic,731
5,Eikeland Kristoffer,1989,NOR,103.69,0.6002,7,332.5,340,340,,267.5,275,280,,317.5,330,337.5,,0,937.5,562.69,6,2013,M,Open,886
6,Eikeland Kristoffer,1989,NOR,104.02,0.5996,19,335,345,350,,277.5,282.5,282.5,,320,330,337.5,,0,970,581.61,5,2014,M,Open,518
6,Eikeland Kristoffer,1989,NOR,104.49,0.5986,19,345,352.5,357.5,,285,285,285,,322.5,337.5,,,0,960,574.66,5,2015,M,Open,78
2,El Belghiti Hassan,1975,FRA,73.04,0.7261,12,225,235,240,,140,147.5,150,,290,305,311.5,,0,695.0 -w1,504.64,9,2015,M,Classic,239
6,El Belghiti Hassan,1975,FRA,71.35,0.7387,3,275,275,285,,180,185,187.5,,300,315,315,,0,770,568.8,5,2015,M,Open,28
2,El Belghitti Hassan,1975,FRA,65.88,0.7864,19,285,290,300,,155,155,160,,295,310,313,,0,758,596.09,9,2012,M,Open,1204
4,El Belghitti Hassan,1975,FRA,72.19,0.7323,6,300,320,320,,172.5,177.5,180,,305,317.5,321.5,,0,785,574.86,7,2013,M,Open,839
2,El Belghitti Hassan,1975,FRA,72.55,0.7296,13,205,217.5,222.5,,135,142.5,145,,285,296.5,310,,0,677.5,494.34,9,2014,M,Classic,669
5,El Belghitti Hassan,1975,FRA,71.7,0.736,8,285,295,300,,175,180,180,,295,307.5,312.5,,0,772.5,568.56,6,2014,M,Open,465
—,Espinoza Jaider,1982,VEN,82.98,0.6676,11,340,352.5,352.5,,240,242.5,242.5,,,,,,0,Out,—,—,2012,M,Open,1254
5,Fazeli Amir,1986,AUS,82.63,0.6693,9,240,252.5,260,,140,147.5,152.5,,297.5,312.5,312.5,,0,697.5,466.84,6,2015,M,Classic,260
1,Fedosienko Sergey,1982,RUS,57.03,0.8945,16,260,280,295,,175,175,185,,237.5,257.5,270,,0,737.5/w/,659.65,12,2012,M,Open,1192
1,Fedosienko Sergey,1982,RUS,57.63,0.8855,6,260,280,292.5,,180,190,197.5,,230,255,265,,0,755.0/w/,668.55,12,2013,M,Open,817
1,Fedosienko Sergey,1982,RUS,58.2,0.8773,6,200,215,225.5,,150,160,165,,230,255,270.5,,0,661.0/w/,579.9,12,2014,M,Classic,648
1,Fedosienko Sergey,1982,RUS,58.06,0.8787,11,265,285,300,,185,195,201,,240,260,270,,0,761.0 -w,668.69,12,2014,M,Open,440
1,Fedosienko Sergey,1982,RUS,58.15,0.878,3,205,217.5,226,,155,165,170,,240,260,267.5,,0,656,575.97,12,2015,M,Classic,219
1,Fedosienko Sergey,1982,RUS,57.6,0.8859,7,265,285,302.5,,190,200,206,,230,250,260,,0,745,660,12,2015,M,Open,2
8,Fekair Rabah,1990,ALG,73.84,0.7204,6,235,250,255,,135,145,150,,250,270,277.5,,0,670,482.67,3,2015,M,Classic,245
—,Fernandez Barrantes Mich,1982,CRC,102.82,0.6021,6,280,280,280,,180,180,200,,250,250,250,,0,DSQ,—,—,2014,M,Open,529
8,Folman Vladimir,1989,KAZ,73.25,0.7246,18,202.5,212.5,220,,145,155,160,,250,260,280,,0,635,460.09,3,2013,M,Classic,1038
16,Fongaro Ricardo,1980,BRA,92,0.6315,2,255,255,265,,140,147.5,147.5,,220,227.5,240,,0,645,407.32,1,2014,M,Open,508
19,Fongaro Ricardo,1981,BRA,100.85,0.6066,9,260,275,275,,160,170,177.5,,230,240,247.5,,0,682.5,414,1,2015,M,Open,91
12,Fonseca Alonso,1995,CRC,72.24,0.7322,4,220,240,240,,110,120,130,,210,220,225,,0,560,410.03,1,2014,M,Open,472
9,Fontaine Laurent,1988,CAN,104.07,0.5994,16,270,285,300,,175,180,185,,270,282.5,290,,0,760,455.54,2,2015,M,Classic,301
—,Fossdal Sigfus,1983,ISL,169.7,0.5433,7,360,360,382.5,,330,330,330,,290,310,315,,0,DD,—,—,2014,M,Open,565
9,Fowler Ryan,1982,CAN,135.1,0.5619,12,330,340,347.5,,232.5,242.5,250,,285,300,310,,0,890,500.09,2,2014,M,Open,562
5,Frasquillo Shawn,1986,USA,65.45,0.7906,2,182.5,195,205,,142.5,150,155,,215,227.5,232.5,,0,582.5,460.52,6,2013,M,Classic,1027
5,Frasquillo Shawn,1986,USA,65.05,0.7947,12,182.5,192.5,197.5,,140,150,155,,227.5,240,250,,0,592.5,470.86,6,2014,M,Classic,661
10,Fredericks Remi Carlos,1985,RSA,63.3,0.8133,13,152.5,160,167.5,,100,107.5,107.5,,232.5,235,240,,0,502.5,408.68,1,2014,M,Classic,666
12,Fudge Chris,1984,CAN,81.9,0.6729,14,237.5,250,262.5,,157.5,165,165,,237.5,250,260,,0,665,447.48,1,2014,M,Open,487
10,Gadyrmamedov Eldar,1982,TKM,73.25,0.7246,1,190,200,212.5,,120,130,132.5,,240,250,,,0,570,412.99,1,2013,M,Classic,1040
2,Gaishinetc Sergei,1986,RUS,73.16,0.7249,13,295,305,310,,190,200,207.5,,305,317.5,325,,0,842.5,610.73,9,2014,M,Open,462
2,Gaishinetc Sergei,1986,RUS,72.9,0.7271,12,315,330,340,,202.5,212.5,212.5,,310,322.5,340.5,,0,865,628.94,9,2015,M,Open,24
10,Garcia Andre,1982,BRA,73.04,0.7264,11,265,280,280,,215,220,225,,240,250,255,,0,735,533.9,1,2014,M,Open,470
2,Garcia Carlos,1980,VEN,58.41,0.8744,4,240,250,257.5,,165,170,172.5,,235,245,250,,0,667.5,583.63,9,2012,M,Open,1193
14,Garcia Gabriel,1975,MEX,90.82,0.6355,24,285,295,305,,207.5,215,220,,280,290,290,,0,790,502.06,1,2012,M,Open,1269
13,Garcia Gabriel,1975,MEX,91.28,0.6338,8,300,310,320,,237.5,242.5,242.5,,280,295,295,,0,837.5,530.81,1,2014,M,Open,505
20,Gengler Jean,1986,LUX,101.21,0.6057,6,220,230,240,,130,135,140,,240,250,260,,0,625,378.56,1,2015,M,Open,92
1,Gibbs Brett,1991,NZL,82.4,0.6704,17,270,282.5,283,,195,202.5,205.5,,290,302.5,316.5,,0,775,519.56,12,2015,M,Classic,256
6,Gilbert Quentin,1983,FRA,92.65,0.6293,12,270,282.5,287.5,,180,192.5,197.5,,280,292.5,300,,0,767.5,483.03,5,2014,M,Classic,702
—,Gilbert Quentin,1983,FRA,92.84,0.6288,16,330,330,330,,220,227.5,232.5,,300,315,325,,0,DSQ,—,—,2014,M,Open,511
4,Gilbert Quentin,1983,FRA,92.85,0.6287,12,275,282.5,287.5,,185,192.5,195,,290,302.5,312.5,,0,785,493.53,7,2015,M,Classic,276
1,Gillingham Brad,1966,USA,147.05,0.5548,26,295,307.5,315,,215,225,230,,350,365,375,,0,920,510.46,12,2013,M,Classic,1109
1,Gladkikh Sergey,1989,RUS,65.94,0.7858,27,300,310,315,,185,195,205,,280,290,300,,0,810.0/w/,636.49,12,2012,M,Open,1203
2,Gladkikh Sergey,1989,RUS,65.45,0.7906,18,300,310,315,,190,200,205,,275,282.5,290,,0,797.5,630.5,9,2013,M,Open,826
2,Gladkikh Sergey,1989,RUS,65.62,0.7889,16,300,315,315,,190,200,207.5,,275,290,290,,0,782.5,617.31,9,2015,M,Open,13
16,Glueck Markus,1990,AUT,104.39,0.5988,14,320,335,342.5,,232.5,232.5,242.5,,277.5,292.5,292.5,,0,852.5,510.48,1,2015,M,Open,88
7,Golubev Vladimir,1986,KAZ,118.2,0.577,4,325,335,335,,210,217.5,217.5,,290,322.5,322.5,,0,835,481.79,4,2013,M,Classic,1097
4,Gomez Walter,1989,ECU,58.2,0.8773,5,205,215,222.5,,140,145,155,,205,217.5,222.5,,0,600,526.38,7,2013,M,Open,820
6,Gomez Walter,1989,ECU,57.95,0.8809,4,155,162.5,167.5,,112.5,120,125,,195,205,210,,0,497.5,438.25,5,2014,M,Classic,653
8,Gomez Walter,1989,ECU,57.94,0.8816,5,215,215,230,,147.5,155,160,,210,222.5,225,,0,615,542.18,3,2014,M,Open,447
17,Gonzalez Antonio,1971,PUR,98.91,0.6113,2,307.5,307.5,317.5,,190,200,205,,262.5,270,270,,0,777.5,475.27,1,2012,M,Open,1294
—,Goriachev Ivan,1990,RUS,119.99,0.5749,7,405,405,405,,290,300,305,,305,322.5,340,,0,DSQ,—,—,2015,M,Open,110
3,Goriachok Anatolii,1979,UKR,73.54,0.7228,17,292.5,300,310,,187.5,192.5,197.5,,302.5,312.5,323,,0,820.5,593.06,8,2014,M,Open,463
2,Goriachok  Anatolii,1979,UKR,73.77,0.7209,14,285,295,305,,185,190,197.5,,297.5,310,312.5,,0,815,587.53,9,2013,M,Open,837
3,Gove Derek,1987,USA,82.55,0.6697,23,237.5,247.5,257.5,,142.5,152.5,157.5,,272.5,285,290,,0,700,468.76,8,2014,M,Classic,685
5,Grabowski Daniel,1986,POL,118.94,0.5762,18,405,415,430,,260,270,275,,335,350,362.5,,0,1040,599.25,6,2014,M,Open,537
17,Gramlich Philipp,1987,GER,131.85,0.5642,23,285,300,300,,180,190,200,,300,317.5,322.5,,0,802.5,452.77,1,2015,M,Classic,339
12,Grenier Allan,1990,FRA,92.99,0.6282,7,315,325,325,,240,250,262.5,,260,280,280,,0,835,524.55,1,2015,M,Open,66
4,Gross Ernst,1987,RUS,103.85,0.5999,14,300,310,315,,185,190,197.5,,295,305,305,,0,802.5,481.42,7,2015,M,Classic,296
6,Grotkowski Mariusz,1989,POL,65.55,0.7896,14,250,250,260,,185,192.5,202.5,,240,252.5,257.5,,0,695,548.77,5,2015,M,Open,17
7,Grzesik Mateusz,1989,POL,104.05,0.5995,9,260,275,280,,190,200,202.5,,300,322.5,322.5,,0,782.5,469.11,4,2015,M,Classic,299
19,Gurbanov Ahmet,1992,TKM,82.03,0.6723,22,260,270,280,,170,170,170,,240,240,252.5,,0,670,450.4,1,2012,M,Open,1252
15,Gustafsson Kim,1986,SWE,146.2,0.5553,14,265,277.5,285,,155,165,170,,340,360,375.5,,0,815,452.57,1,2015,M,Classic,337
4,Gyennin Kojo,1979,CAN,73.1,0.7256,5,227.5,237.5,242.5,,135,140,142.5,,275,290,303.5,,0,675,489.78,7,2014,M,Classic,671
9,Haavik Adam,1988,SWE,116.94,0.5785,3,275,290,295,,185,192.5,200,,300,315,320,,0,810,468.58,2,2015,M,Classic,315
8,Haegg Tobias,1987,SWE,81.88,0.673,4,220,232.5,237.5,,145,150,150,,275,285,295,,0,662.5,445.86,3,2015,M,Classic,263
9,Hafenbrack Michael,1984,USA,65.2,0.7932,13,230,235,242.5,,145,152.5,160,,230,240,245,,0,635,503.68,2,2013,M,Open,833
14,Hall Scott,1978,AUS,139.46,0.5591,3,340,340,355,,205,215,225,,290,300,307.5,,0,855,478.03,1,2015,M,Open,126
—,Hamada Nobuyuki,1969,JPN,73.68,0.7214,7,280,280,280,,210,210,215,,230,240,245,,0,DSQ,—,—,2014,M,Open,473
8,Hamada Nobuyuki,1969,JPN,73.1,0.7256,7,280,280,280,,210,220,220,,245,260,265,,0,765,555.08,3,2015,M,Open,30
7,Hamson John,1990,GBR,104.76,0.598,21,330,350,350,,230,240,245,,310,327.5,332.5,,0,922.5,551.65,4,2014,M,Open,519
15,Hanada Toshihiro,1991,JPN,91.91,0.6318,4,280,290,290,,175,187.5,197.5,,260,270,270,,0,747.5,472.27,1,2013,M,Open,877
—,Hansen Joergen,1986,NOR,119.41,0.5756,16,385,385,385,,,,,,,,,,0,DSQ,—,—,2015,M,Open,109
5,Hansen Jorgen,1986,NOR,119.52,0.5755,31,375,392.5,402.5,,257.5,262.5,267.5,,320,330,342.5,,0,1012.5,582.67,6,2012,M,Open,1303
5,Hansen Jorgen,1986,NOR,114.26,0.5821,16,375,390,400,,250,255,260,,320,337.5,350,,0,982.5,571.91,6,2013,M,Open,899
8,Hansen Jorgen,1986,NOR,118.82,0.5763,1,380,390,395,,260,260,265,,320,327.5,340,,0,987.5,569.1,3,2014,M,Open,540
9,Harris Neville,1977,AUS,73.65,0.7218,8,202.5,202.5,202.5,,132.5,140,140,,230,240,247.5,,0,575,415.01,2,2013,M,Classic,1039
7,Harsany Tomas,1982,SVK,104.42,0.5988,6,330,340,345,,215,215,230,,310,325,335,,0,910,544.87,4,2012,M,Open,1284
6,Harsany Tomas,1982,SVK,104.27,0.599,11,340,350,360,,240,247.5,247.5,,330,342.5,342.5,,0,927.5,555.57,5,2013,M,Open,887
8,Harsany Tomas,1982,SVK,104.03,0.5995,5,335,335,350,,230,240,240,,332.5,345,345,,0,935,560.53,3,2015,M,Open,80
9,Hassanin Ahmed,1985,EGY,179.9,0.5382,6,432.5,450,455,,250,250,265,,270,300,327.5,,0,1005,540.89,2,2013,M,Open,920
8,Hedlesky Michael,1985,USA,116.6,0.579,5,232.5,247.5,260,,175,185,187.5,,322.5,342.5,352.5,,0,797.5,461.75,3,2013,M,Classic,1098
—,Henriksson Johan,1984,FIN,81.45,0.6752,26,230,242.5,247.5,,152.5,152.5,152.5,,,,,,0,Out,—,—,2014,M,Classic,695
21,Henry Vagi,1988,PNG,136,0.5613,5,250,260,275,,150,157.5,165,,285,300,310,,0,740,415.36,1,2015,M,Classic,343
—,Hentschel Andre,1984,GER,92.84,0.6287,21,320,320,320,,232.5,,,,,,,,0,Out,—,—,2012,M,Open,1274
11,Hentschel Andre,1984,GER,92.52,0.6297,10,310,322.5,332.5,,250,250,260,,280,292.5,302.5,,0,865,544.69,1,2013,M,Open,873
15,Hentschel Andre,1984,GER,92.6,0.6295,14,310,320,320,,125,,,,280,300,305,,0,745,468.98,1,2014,M,Open,507
15,Hetterschijt Huub,1973,NED,114.2,0.5821,6,230,240,250,,195,207.5,207.5,,225,240,250,,0,695,404.56,1,2013,M,Classic,1105
13,Hidaka Tsuyoshi,1986,JPN,81.41,0.6753,15,215,230,232.5,,135,145,150,,235,255,260,,0,637.5,430.5,1,2015,M,Classic,268
—,Hill Scott,1977,AUS,92.7,0.6292,13,250,257.5,262.5,,170,180,180,,265,265,265,,0,Out,—,—,2013,M,Classic,1069
5,Hjelmtveit Andreas,1983,NOR,103.6,0.6004,4,280,300,307.5,,170,175,,,320,330,343,,0,807.5,484.82,6,2014,M,Classic,714
13,Hjelmtveit Andreas,1983,NOR,107.42,0.593,3,360,360,370,,210,217.5,217.5,,340,352.5,360,,0,937.5,555.94,1,2014,M,Open,545
6,Hjelmtveit Andreas,1983,NOR,110.95,0.587,12,380,390,395,,225,230,235,,355,370,375,,0,1005,589.93,5,2015,M,Open,101
12,Hodgett Mark,1979,GBR,82.09,0.6719,2,202.5,212.5,220,,137.5,142.5,147.5,,265,275,280,,0,647.5,435.06,1,2015,M,Classic,267
9,Hokkanen Timo,1979,FIN,116.4,0.5792,17,255,265,272.5,,225,232.5,237.5,,260,270,277.5,,0,780,451.78,2,2013,M,Classic,1099
6,Hokkanen Timo,1979,FIN,116.35,0.5793,5,265,275,285,,225,235,242,,260,270,277.5,,0,787.5,456.16,5,2014,M,Classic,729
6,Holloway Domarrio,1977,USA,65.5,0.7901,19,237.5,245,252.5,,162.5,170,172.5,,255,255,265,,0,680,537.27,5,2013,M,Open,830
4,Holloway Domarrio,1980,USA,65.84,0.7872,12,250,262.5,262.5,,170,177.5,180,,260,275,282.5,,0,725,570.72,7,2014,M,Open,455
11,Horiguchi Yosuke,1993,JPN,92.39,0.6302,9,287.5,287.5,300,,260,280,287.5,,250,270,282.5,,0,850,535.67,1,2015,M,Open,65
12,Horvath Peter,1991,HUN,90.58,0.6363,1,230,242.5,252.5,,150,157.5,162.5,,260,272.5,285,,0,687.5,437.46,1,2015,M,Classic,284
